Position,IMDb_ID,Title,Year,IMDb_Rating,Directors,Genres,URL
819,tt0092337,Dekalog,1989,8.9,,Drama,https://www.imdb.com/title/tt0092337/
762,tt0090015,Shoah,1985,8.7,Claude Lanzmann,"Documentary, History, War",https://www.imdb.com/title/tt0090015/
305,tt0048434,Night and Fog,1956,8.6,Alain Resnais,"Documentary, Short, History, War",https://www.imdb.com/title/tt0048434/
370,tt0054407,Le trou,1960,8.5,Jacques Becker,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0054407/
1227,tt9617456,For Sama,2019,8.5,"Waad Al-Kateab, Edward Watts","Documentary, Biography, War",https://www.imdb.com/title/tt9617456/
435,tt0058625,Woman in the Dunes,1964,8.4,Hiroshi Teshigahara,"Drama, Thriller",https://www.imdb.com/title/tt0058625/
1216,tt8267604,Capernaum,2018,8.4,Nadine Labaki,Drama,https://www.imdb.com/title/tt8267604/
1250,tt15239678,Dune: Part Two,2024,8.4,Denis Villeneuve,"Action, Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt15239678/
63,tt0022100,M,1931,8.3,Fritz Lang,"Crime, Mystery, Thriller",https://www.imdb.com/title/tt0022100/
181,tt0036775,Double Indemnity,1944,8.3,Billy Wilder,"Crime, Drama, Film-Noir, Mystery, Thriller",https://www.imdb.com/title/tt0036775/
256,tt0045152,Singin' in the Rain,1952,8.3,"Stanley Donen, Gene Kelly","Comedy, Musical, Romance",https://www.imdb.com/title/tt0045152/
258,tt0044741,Ikiru,1952,8.3,Akira Kurosawa,Drama,https://www.imdb.com/title/tt0044741/
290,tt0047445,Sansho the Bailiff,1954,8.3,Kenji Mizoguchi,Drama,https://www.imdb.com/title/tt0047445/
338,tt0050634,The Cranes Are Flying,1957,8.3,Mikhail Kalatozov,"Drama, Romance, War",https://www.imdb.com/title/tt0050634/
355,tt0053125,North by Northwest,1959,8.3,Alfred Hitchcock,"Adventure, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0053125/
406,tt0056322,The Given Word,1962,8.3,Anselmo Duarte,Drama,https://www.imdb.com/title/tt0056322/
506,tt0062622,2001: A Space Odyssey,1968,8.3,Stanley Kubrick,"Adventure, Sci-Fi",https://www.imdb.com/title/tt0062622/
752,tt0091251,Come and See,1985,8.3,Elem Klimov,"Drama, Thriller, War",https://www.imdb.com/title/tt0091251/
913,tt0110057,Hoop Dreams,1994,8.3,Steve James,"Documentary, Drama, Sport",https://www.imdb.com/title/tt0110057/
938,tt0435761,Toy Story 3,2010,8.3,Lee Unkrich,"Animation, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt0435761/
968,tt0119698,Princess Mononoke,1997,8.3,Hayao Miyazaki,"Animation, Adventure, Fantasy",https://www.imdb.com/title/tt0119698/
39,tt0018192,Napoleon,1927,8.2,Abel Gance,"Biography, Drama, History, War",https://www.imdb.com/title/tt0018192/
67,tt0023042,I Am a Fugitive from a Chain Gang,1932,8.2,Mervyn LeRoy,"Crime, Drama, Film-Noir",https://www.imdb.com/title/tt0023042/
133,tt0031381,Gone with the Wind,1939,8.2,Victor Fleming,"Drama, Romance, War",https://www.imdb.com/title/tt0031381/
150,tt0033467,Citizen Kane,1941,8.2,Orson Welles,"Drama, Mystery",https://www.imdb.com/title/tt0033467/
212,tt0040522,Bicycle Thieves,1948,8.2,Vittorio De Sica,Drama,https://www.imdb.com/title/tt0040522/
241,tt0042804,The Young and the Damned,1950,8.2,Luis Buñuel,"Crime, Drama",https://www.imdb.com/title/tt0042804/
298,tt0048452,Ordet,1955,8.2,Carl Theodor Dreyer,Drama,https://www.imdb.com/title/tt0048452/
339,tt0048956,Aparajito,1956,8.2,Satyajit Ray,Drama,https://www.imdb.com/title/tt0048956/
371,tt0054248,Rocco and His Brothers,1960,8.2,Luchino Visconti,"Crime, Drama, Sport",https://www.imdb.com/title/tt0054248/
385,tt0056119,La Jetée,1962,8.2,Chris Marker,"Short, Drama, Romance, Sci-Fi",https://www.imdb.com/title/tt0056119/
405,tt0056592,To Kill a Mockingbird,1962,8.2,Robert Mulligan,"Crime, Drama",https://www.imdb.com/title/tt0056592/
427,tt0057115,The Great Escape,1963,8.2,John Sturges,"Adventure, Drama, Thriller, War",https://www.imdb.com/title/tt0057115/
449,tt0059527,The Shop on Main Street,1965,8.2,"Ján Kadár, Elmar Klos","Drama, War",https://www.imdb.com/title/tt0059527/
578,tt0070735,The Sting,1973,8.2,George Roy Hill,"Comedy, Crime, Drama",https://www.imdb.com/title/tt0070735/
602,tt0071411,Dersu Uzala,1975,8.2,Akira Kurosawa,"Adventure, Biography, Drama",https://www.imdb.com/title/tt0071411/
639,tt0075404,The Ascent,1977,8.2,Larisa Shepitko,"Drama, War",https://www.imdb.com/title/tt0075404/
715,tt0084787,The Thing,1982,8.2,John Carpenter,"Horror, Mystery, Sci-Fi",https://www.imdb.com/title/tt0084787/
731,tt0085809,Koyaanisqatsi,1982,8.2,Godfrey Reggio,"Documentary, Music",https://www.imdb.com/title/tt0085809/
755,tt0089881,Ran,1985,8.2,Akira Kurosawa,"Action, Drama, War",https://www.imdb.com/title/tt0089881/
849,tt0100234,Close-Up,1990,8.2,Abbas Kiarostami,"Biography, Crime, Drama",https://www.imdb.com/title/tt0100234/
863,tt0101985,A Brighter Summer Day,1991,8.2,Edward Yang,"Crime, Drama, Romance",https://www.imdb.com/title/tt0101985/
922,tt0108906,The Kingdom,1994,8.2,,"Comedy, Drama, Fantasy, Horror, Mystery",https://www.imdb.com/title/tt0108906/
1158,tt2375605,The Act of Killing,2012,8.2,"Joshua Oppenheimer, Anonymous, Christine Cynn","Documentary, Biography, Crime, History, War",https://www.imdb.com/title/tt2375605/
1180,tt3521134,The Look of Silence,2014,8.2,Joshua Oppenheimer,"Documentary, Biography, History",https://www.imdb.com/title/tt3521134/
1199,tt5895028,13th,2016,8.2,Ava DuVernay,"Documentary, Crime, History",https://www.imdb.com/title/tt5895028/
1256,tt15398776,Oppenheimer,2023,8.2,Christopher Nolan,"Biography, Drama, History",https://www.imdb.com/title/tt15398776/
1,tt0000417,A Trip to the Moon,1902,8.1,Georges Méliès,"Short, Adventure, Comedy, Fantasy, Sci-Fi",https://www.imdb.com/title/tt0000417/
22,tt0015324,Sherlock Jr.,1924,8.1,Buster Keaton,"Action, Comedy, Romance",https://www.imdb.com/title/tt0015324/
29,tt0015864,The Gold Rush,1925,8.1,Charles Chaplin,"Adventure, Comedy, Drama, Romance, Western",https://www.imdb.com/title/tt0015864/
34,tt0018455,Sunrise,1927,8.1,F.W. Murnau,"Drama, Romance",https://www.imdb.com/title/tt0018455/
53,tt0020629,All Quiet on the Western Front,1930,8.1,Lewis Milestone,"Drama, War",https://www.imdb.com/title/tt0020629/
89,tt0025316,It Happened One Night,1934,8.1,Frank Capra,"Comedy, Romance",https://www.imdb.com/title/tt0025316/
